	A
	
	Decaline.Sample.Raw.csv
6535.94771	0.1025
6544.50262	0.1058
6553.07995	0.1091
6561.67979	0.1124
6570.30223	0.1159
6578.94737	0.1196
6587.61528	0.1235
6596.30607	0.1276
6605.01982	0.1320
6613.75661	0.1366
6622.51656	0.1411
6631.29973	0.1456
6640.10624	0.1499
6648.93617	0.1536
6657.78961	0.1567
6666.66667	0.1593
6675.56742	0.1614
6684.49198	0.1629
6693.44043	0.1641
6702.41287	0.1651
6711.4094	0.1663
6720.43011	0.1678
6729.4751	0.1697
6738.54447	0.1723
6747.63833	0.1755
6756.75676	0.1794
6765.89986	0.1837
6775.06775	0.1885
6784.26052	0.1937
6793.47826	0.1990
6802.72109	0.2045
6811.9891	0.2101
6821.2824	0.2156
6830.60109	0.2214
6839.94528	0.2275
6849.31507	0.2344
6858.71056	0.2421
6868.13187	0.2509
6877.57909	0.2607
6887.05234	0.2714
6896.55172	0.2830
6906.07735	0.2950
6915.62932	0.3070
6925.20776	0.3183
6934.81276	0.3284
6944.44444	0.3373
6954.10292	0.3448
6963.7883	0.3515
6973.5007	0.3576
6983.24022	0.3641
6993.00699	0.3713
7002.80112	0.3799
7012.62272	0.3897
7022.47191	0.4003
7032.3488	0.4113
7042.25352	0.4214
7052.18618	0.4295
7062.14689	0.4344
7072.13579	0.4353
7082.15297	0.4317
7092.19858	0.4250
7102.27273	0.4164
7112.37553	0.4084
7122.50712	0.4023
7132.66762	0.3991
7142.85714	0.3990
7153.07582	0.4011
7163.32378	0.4045
7173.60115	0.4069
7183.90805	0.4055
7194.2446	0.3977
7204.61095	0.3819
7215.00722	0.3587
7225.43353	0.3294
7235.89001	0.2963
7246.37681	0.2623
7256.89405	0.2296
7267.44186	0.1986
7278.02038	0.1703
7288.62974	0.1457
7299.27007	0.1242
7309.94152	0.1055
7320.64422	0.08983
7331.3783	0.07666
7342.14391	0.06546
7352.94118	0.05620
7363.77025	0.04875
7374.63127	0.04274
7385.52437	0.03815
7396.4497	0.03466
7407.40741	0.03214
7418.39763	0.03032
7429.42051	0.02915
7440.47619	0.02839
7451.56483	0.02792
7462.68657	0.02777
7473.84155	0.02789
7485.02994	0.02806
7496.25187	0.02844
7507.50751	0.02898
7518.79699	0.02945
7530.12048	0.03019
7541.47813	0.03098
7552.87009	0.03177
7564.29652	0.03289
7575.75758	0.03396
7587.25341	0.03513
7598.78419	0.03639
7610.35008	0.03770
7621.95122	0.03911
7633.58779	0.04069
7645.25994	0.04245
7656.96784	0.04430
7668.71166	0.04627
7680.49155	0.04839
7692.30769	0.05070
7704.16025	0.05301
7716.04938	0.05573
7727.97527	0.05842
7739.93808	0.06142
7751.93798	0.06450
7763.97516	0.06808
7776.04977	0.07166
7788.16199	0.07558
7800.31201	0.07985
7812.5	0.08434
7824.72613	0.08926
7836.9906	0.09468
7849.29356	0.1004
7861.63522	0.1067
7874.01575	0.1134
7886.43533	0.1208
7898.89415	0.1288
7911.39241	0.1374
7923.93027	0.1470
7936.50794	0.1575
7949.1256	0.1689
7961.78344	0.1818
7974.48166	0.1960
7987.22045	0.2114
8000	0.2281
8012.82051	0.2462
8025.68218	0.2653
8038.58521	0.2858
8051.52979	0.3074
8064.51613	0.3302
8077.54443	0.3543
8090.61489	0.3809
8103.72771	0.4103
8116.88312	0.4428
8130.0813	0.4791
8143.32248	0.5196
8156.60685	0.5645
8169.93464	0.6146
8183.30606	0.6695
8196.72131	0.7274
8210.18062	0.7861
8223.68421	0.8440
8237.23229	0.8962
8250.82508	0.9377
8264.46281	0.9629
8278.1457	0.9680
8291.87396	0.9534
8305.64784	0.9227
8319.46755	0.8807
8333.33333	0.8316
8347.24541	0.7784
8361.20401	0.7232
8375.20938	0.6685
8389.26174	0.6152
8403.36134	0.5638
