	A
	
	Decaline.Sample.Raw.csv
1304	0.04627
1302	0.04839
1300	0.05070
1298	0.05301
1296	0.05573
1294	0.05842
1292	0.06142
1290	0.06450
1288	0.06808
1286	0.07166
1284	0.07558
1282	0.07985
1280	0.08434
1278	0.08926
1276	0.09468
1274	0.1004
1272	0.1067
1270	0.1134
1268	0.1208
1266	0.1288
1264	0.1374
1262	0.1470
1260	0.1575
1258	0.1689
1256	0.1818
1254	0.1960
1252	0.2114
1250	0.2281
1248	0.2462
1246	0.2653
1244	0.2858
1242	0.3074
1240	0.3302
1238	0.3543
1236	0.3809
1234	0.4103
1232	0.4428
1230	0.4791
1228	0.5196
1226	0.5645
1224	0.6146
1222	0.6695
1220	0.7274
1218	0.7861
1216	0.8440
1214	0.8962
1212	0.9377
1210	0.9629
1208	0.9680
1206	0.9534
1204	0.9227
1202	0.8807
1200	0.8316
1198	0.7784
1196	0.7232
1194	0.6685
1192	0.6152
1190	0.5638
1188	0.5149
1186	0.4683
1184	0.4226
1182	0.3802
1180	0.3424
1178	0.3091
1176	0.2795
1174	0.2538
1172	0.2314
1170	0.2117
1168	0.1942
1166	0.1782
1164	0.1629
1162	0.1479
1160	0.1329
1158	0.1180
1156	0.1032
1154	0.08931
1152	0.07641
1150	0.06464
1148	0.05408
1146	0.04498
1144	0.03732
1142	0.03090
1140	0.02564
1138	0.02130
1136	0.01764
1134	0.01471
1132	0.01231
1130	0.01028
1128	0.008701
1126	0.007403
1124	0.006440
1122	0.005793
1120	0.005328
1118	0.005064
1116	0.004954
1114	0.004967
1112	0.005011
1110	0.005212
1108	0.005577
1106	0.005847
1104	0.006108
1102	0.006454
1100	0.006837
1098	0.007231
1096	0.007669
1094	0.007960
1092	0.008326
1090	0.008805
1088	0.009189
1086	0.009594
1084	0.01008
1082	0.01053
1080	0.01103
1078	0.01152
1076	0.01197
1074	0.01244
1072	0.01290
1070	0.01346
1068	0.01406
1066	0.01463
1064	0.01512
1062	0.01569
1060	0.01623
1058	0.01679
1056	0.01740
1054	0.01803
1052	0.01859
1050	0.01917
1048	0.01974
1046	0.02021
1044	0.02062
1042	0.02078
1040	0.02085
1038	0.02074
1036	0.02041
1034	0.01988
1032	0.01931
1030	0.01857
1028	0.01767
1026	0.01671
1024	0.01562
1022	0.01466
1020	0.01360
1018	0.01249
1016	0.01151
1014	0.01035
1012	0.009287
1010	0.008130
1008	0.006939
1006	0.005731
1004	0.004587
1002	0.003698
1000	0.002787
998	0.001949
996	0.001206
994	5.800E-4
992	6.200E-5
990	-3.970E-4
988	-5.810E-4
986	-7.520E-4
984	-8.620E-4
982	-8.040E-4
980	-6.590E-4
978	-3.720E-4
976	2.500E-5
974	7.430E-4
972	0.001483
970	0.002335
968	0.003461
966	0.004734
964	0.006010
962	0.007541
960	0.009243
958	0.01103
956	0.01301
954	0.01534
952	0.01784
950	0.02081
948	0.02405
946	0.02795
944	0.03236
942	0.03702
940	0.04194
938	0.04728
936	0.05238
934	0.05724
932	0.06149
930	0.06478
928	0.06708
926	0.06776
924	0.06690
922	0.06473
920	0.06113
918	0.05639
916	0.05087
914	0.04525
912	0.03939
910	0.03352
908	0.02823
906	0.02350
904	0.01953
902	0.01602
900	0.01328
898	0.01094
896	0.008763
894	0.007027
892	0.005654
890	0.004004
888	0.002752
886	0.001854
884	0.001031
882	1.800E-4
880	-6.750E-4
878	-0.001258
876	-0.001648
874	-0.002440
872	-0.002330
870	-0.002907
868	-0.003166
866	-0.002935
864	-0.003468
862	-0.003295
860	-0.02306
858	-0.004241
856	-0.004972
854	-0.003666
852	-0.005082
850	-0.004215
848	-0.004428
846	-0.004452
844	-0.004280
842	-0.004207
840	-0.004595
838	-0.004346
836	-0.004262
834	-0.004641
832	-0.004268
830	-0.004757
828	-0.004194
826	-0.004380
824	-0.004552
822	-0.004620
820	-0.004711
818	-0.005066
816	-0.005480
814	-0.005735
812	-0.005617
810	-0.005254
808	-0.006164
806	-0.005782
804	-0.005798
802	-0.006188
800	-0.006311
798	-0.006150
796	-0.006128
794	-0.006021
792	-0.006027
790	-0.005768
788	-0.005644
786	-0.005351
784	-0.005223
782	-0.004939
780	-0.004751
778	-0.004810
776	-0.004563
774	-0.004468
772	-0.003563
770	-0.002556
768	-0.001841
766	-0.001321
764	-5.920E-4
762	2.000E-4
760	7.510E-4
758	6.380E-4
756	4.580E-4
754	-1.650E-4
752	-0.001184
750	-0.001947
748	-0.003021
746	-0.003532
744	-0.004373
742	-0.004809
740	-0.005086
738	-0.005168
736	-0.005698
734	-0.005579
732	-0.006012
730	-0.006056
728	-0.005970
726	-0.006186
724	-0.006103
722	-0.006323
720	-0.006279
718	-0.006346
716	-0.006379
714	-0.006291
712	-0.006423
710	-0.006239
708	-0.006217
706	-0.006188
704	-0.006426
702	-0.006331
700	-0.006305
698	-0.006341
696	-0.006337
694	-0.006491
692	-0.006575
690	-0.006420
688	-0.006470
686	-0.006500
684	-0.006403
682	-0.006338
680	-0.006406
678	-0.006390
676	-0.006304
674	-0.006338
672	-0.006477
670	-0.006388
668	-0.006391
666	-0.006501
664	-0.006264
662	-0.006122
660	-0.006162
658	-0.006105
656	-0.006101
654	-0.005972
652	-0.005681
650	-0.005455
648	-0.005567
646	-0.005587
644	-0.005694
642	-0.005775
640	-0.005825
638	-0.005931
636	-0.005922
634	-0.005902
632	-0.006043
630	-0.006139
628	-0.006194
626	-0.006354
624	-0.006303
622	-0.006257
620	-0.006216
618	-0.006171
616	-0.006119
614	-0.006118
612	-0.006216
610	-0.006223
608	-0.006088
606	-0.006051
604	-0.006217
602	-0.006147
600	-0.006152
598	-0.006241
596	-0.006156
594	-0.006133
592	-0.006059
590	-0.005904
588	-0.005895
586	-0.005955
584	-0.005912
582	-0.005857
580	-0.005945
578	-0.005803
576	-0.005718
574	-0.005638
572	-0.005476
570	-0.005194
568	-0.005024
566	-0.005207
564	-0.005413
562	-0.005402
560	-0.005287
558	-0.005318
556	-0.005336
554	-0.005304
552	-0.005216
550	-0.005104
548	-0.005101
546	-0.005112
544	-0.005106
542	-0.005086
540	-0.004960
538	-0.004900
536	-0.004909
534	-0.004821
532	-0.004396
530	-0.004308
528	-0.004301
526	-0.004329
524	-0.004270
522	-0.004243
520	-0.004184
518	-0.004178
516	-0.004126
514	-0.003901
512	-0.004032
510	-0.003960
508	-0.003780
506	-0.003612
504	-0.003563
502	-0.003676
500	-0.003518
498	-0.003051
496	-0.003088
494	-0.003140
492	-0.003008
490	-0.002842
488	-0.002568
486	-0.002476
484	-0.002338
482	-0.002432
480	-0.002146
478	-0.001955
476	-0.001749
474	-0.001402
472	-0.001373
470	-0.001143
468	-6.610E-4
466	-4.990E-4
464	-2.320E-4
462	2.170E-4
460	3.800E-4
458	4.330E-4
456	9.260E-4
454	0.001196
452	0.001436
450	0.001797
448	0.001940
446	0.002450
444	0.002751
442	0.003284
440	0.003462
438	0.003990
436	0.004331
434	0.005125
432	0.005906
430	0.006620
428	0.007131
426	0.007641
424	0.007864
422	0.008552
420	0.009283
418	0.009648
416	0.009586
414	0.01025
412	0.01055
410	0.01154
408	0.01196
406	0.01246
404	0.01314
402	0.01373
400	0.01390
398	0.01475
396	0.01518
394	0.01587
392	0.01641
390	0.01730
388	0.01855
386	0.01934
384	0.02035
382	0.02140
380	0.02288
378	0.02485
376	0.02757
374	0.03043
372	0.03410
370	0.03713
368	0.04126
366	0.04612
364	0.05155
362	0.05934
360	0.06886
358	0.08099
356	0.09381
354	0.1060
352	0.1171
350	0.1281
348	0.1386
346	0.1498
344	0.1607
342	0.1720
340	0.1818
338	0.1899
336	0.1961
334	0.2009
332	0.2060
330	0.2104
328	0.2144
326	0.2165
324	0.2174
322	0.2200
320	0.2231
318	0.2254
316	0.2310
314	0.2414
312	0.2670
310	0.2706
308	0.2837
306	0.3292
304	0.3854
302	0.4871
300	0.6747
298	0.9860
296	1.123
294	1.142
292	1.262
290	1.547
288	1.933
286	2.068
284	2.213
282	2.513
280	3.490
278	3.965
276	3.965
274	3.965
272	3.965
270	3.965
268	3.965
266	3.965
264	3.965
262	3.965
260	3.965
258	3.965
256	3.965
254	3.965
252	3.965
250	3.965
248	3.965
246	3.965
244	3.965
242	3.965
240	3.965
238	3.965
236	3.965
234	3.965
232	3.965
230	3.965
228	3.965
226	3.965
224	3.965
222	3.965
220	3.965
218	3.965
216	3.965
214	3.965
212	3.965
210	3.965
208	3.965
206	3.965
204	3.965
202	3.965
200	3.965
	
