	A
	
	DCM.Sample.Raw.csv
6485.08431	0.01310
6493.50649	0.01222
6501.95059	0.01162
6510.41667	0.01119
6518.90482	0.01089
6527.41514	0.01081
6535.94771	0.01089
6544.50262	0.01116
6553.07995	0.01176
6561.67979	0.01264
6570.30223	0.01397
6578.94737	0.01573
6587.61528	0.01794
6596.30607	0.02079
6605.01982	0.02424
6613.75661	0.02811
6622.51656	0.03223
6631.29973	0.03658
6640.10624	0.04083
6648.93617	0.04459
6657.78961	0.04770
6666.66667	0.04995
6675.56742	0.05119
6684.49198	0.05153
6693.44043	0.05145
6702.41287	0.05124
6711.4094	0.05140
6720.43011	0.05228
6729.4751	0.05441
6738.54447	0.05829
6747.63833	0.06365
6756.75676	0.07001
6765.89986	0.07661
6775.06775	0.08274
6784.26052	0.08733
6793.47826	0.08973
6802.72109	0.08938
6811.9891	0.08601
6821.2824	0.07968
6830.60109	0.07141
6839.94528	0.06228
6849.31507	0.05353
6858.71056	0.04597
6868.13187	0.04043
6877.57909	0.03769
6887.05234	0.03786
6896.55172	0.04140
6906.07735	0.04827
6915.62932	0.05759
6925.20776	0.06849
6934.81276	0.08047
6944.44444	0.09312
6954.10292	0.1065
6963.7883	0.1212
6973.5007	0.1379
6983.24022	0.1571
6993.00699	0.1793
7002.80112	0.2054
7012.62272	0.2346
7022.47191	0.2653
7032.3488	0.2946
7042.25352	0.3191
7052.18618	0.3343
7062.14689	0.3373
7072.13579	0.3278
7082.15297	0.3082
7092.19858	0.2822
7102.27273	0.2534
7112.37553	0.2258
7122.50712	0.2015
7132.66762	0.1816
7142.85714	0.1665
7153.07582	0.1552
7163.32378	0.1455
7173.60115	0.1365
7183.90805	0.1278
7194.2446	0.1197
7204.61095	0.1126
7215.00722	0.1076
7225.43353	0.1064
7235.89001	0.1104
7246.37681	0.1205
7256.89405	0.1361
7267.44186	0.1562
7278.02038	0.1781
7288.62974	0.1996
7299.27007	0.2174
7309.94152	0.2281
7320.64422	0.2287
7331.3783	0.2184
7342.14391	0.1995
7352.94118	0.1763
7363.77025	0.1532
7374.63127	0.1318
7385.52437	0.1135
7396.4497	0.09857
7407.40741	0.08781
7418.39763	0.08047
7429.42051	0.07633
7440.47619	0.07344
7451.56483	0.06992
7462.68657	0.06455
7473.84155	0.05756
