	A
	
	Chloroform.Sample.Raw.csv
1340	0.01534
1338	0.01504
1336	0.01488
1334	0.01469
1332	0.01440
1330	0.01423
1328	0.01400
1326	0.01386
1324	0.01366
1322	0.01367
1320	0.01364
1318	0.01365
1316	0.01377
1314	0.01384
1312	0.01404
1310	0.01414
1308	0.01440
1306	0.01453
1304	0.01469
1302	0.01475
1300	0.01482
1298	0.01488
1296	0.01496
1294	0.01480
1292	0.01477
1290	0.01472
1288	0.01475
1286	0.01462
1284	0.01461
1282	0.01461
1280	0.01462
1278	0.01466
1276	0.01467
1274	0.01462
1272	0.01460
1270	0.01448
1268	0.01431
1266	0.01419
1264	0.01402
1262	0.01394
1260	0.01385
1258	0.01370
1256	0.01367
1254	0.01368
1252	0.01365
1250	0.01359
1248	0.01363
1246	0.01363
1244	0.01369
1242	0.01369
1240	0.01376
1238	0.01390
1236	0.01416
1234	0.01467
1232	0.01559
1230	0.01706
1228	0.01912
1226	0.02152
1224	0.02427
1222	0.02727
1220	0.03023
1218	0.03286
1216	0.03493
1214	0.03593
1212	0.03589
1210	0.03471
1208	0.03265
1206	0.03022
1204	0.02749
1202	0.02474
1200	0.02215
1198	0.01997
1196	0.01827
1194	0.01705
1192	0.01620
1190	0.01569
1188	0.01535
1186	0.01514
1184	0.01509
1182	0.01511
1180	0.01539
1178	0.01601
1176	0.01710
1174	0.01922
1172	0.02323
1170	0.03019
1168	0.04122
1166	0.05673
1164	0.07665
1162	0.1003
1160	0.1264
1158	0.1537
1156	0.1797
1154	0.2005
1152	0.2120
1150	0.2119
1148	0.2010
1146	0.1819
1144	0.1579
1142	0.1320
1140	0.1071
1138	0.08459
1136	0.06540
1134	0.05044
1132	0.03956
1130	0.03195
1128	0.02670
1126	0.02308
1124	0.02061
1122	0.01884
1120	0.01754
1118	0.01665
1116	0.01598
1114	0.01544
1112	0.01505
1110	0.01475
1108	0.01455
1106	0.01437
1104	0.01416
1102	0.01406
1100	0.01396
1098	0.01389
1096	0.01391
1094	0.01377
1092	0.01372
1090	0.01372
1088	0.01375
1086	0.01384
1084	0.01399
1082	0.01419
1080	0.01456
1078	0.01510
1076	0.01560
1074	0.01615
1072	0.01679
1070	0.01739
1068	0.01783
1066	0.01818
1064	0.01834
1062	0.01829
1060	0.01802
1058	0.01770
1056	0.01729
1054	0.01673
1052	0.01613
1050	0.01560
1048	0.01522
1046	0.01482
1044	0.01463
1042	0.01445
1040	0.01436
1038	0.01440
1036	0.01455
1034	0.01491
1032	0.01569
1030	0.01693
1028	0.01840
1026	0.02015
1024	0.02205
1022	0.02407
1020	0.02590
1018	0.02740
1016	0.02849
1014	0.02860
1012	0.02805
1010	0.02683
1008	0.02520
1006	0.02331
1004	0.02132
1002	0.01951
1000	0.01780
998	0.01647
996	0.01549
994	0.01495
992	0.01462
990	0.01434
988	0.01424
986	0.01418
984	0.01406
982	0.01410
980	0.01405
978	0.01396
976	0.01390
974	0.01398
972	0.01395
970	0.01389
968	0.01398
966	0.01393
964	0.01389
962	0.01392
960	0.01402
958	0.01398
956	0.01393
954	0.01409
952	0.01401
950	0.01408
948	0.01395
946	0.01403
944	0.01406
942	0.01416
940	0.01410
938	0.01411
936	0.01416
934	0.01402
932	0.01408
930	0.01428
928	0.01414
926	0.01424
924	0.01433
922	0.01447
920	0.01456
918	0.01478
916	0.01465
914	0.01494
912	0.01506
910	0.01496
908	0.01510
906	0.01494
904	0.01502
902	0.01502
900	0.01534
898	0.01564
896	0.01608
894	0.01687
892	0.01796
890	0.01878
888	0.01998
886	0.02099
884	0.02193
882	0.02250
880	0.02239
878	0.02189
876	0.02164
874	0.02068
872	0.01966
870	0.01854
868	0.01753
866	0.01685
864	0.01574
862	0.01571
860	0.01399
858	0.01446
856	0.01423
854	0.01489
852	0.01431
850	0.01434
848	0.01426
846	0.01430
844	0.01404
842	0.01396
840	0.01363
838	0.01375
836	0.01426
834	0.01375
832	0.01417
830	0.01468
828	0.01505
826	0.01469
824	0.01450
822	0.01457
820	0.01494
818	0.01475
816	0.01427
814	0.01379
812	0.01419
810	0.01429
808	0.01414
806	0.01483
804	0.01539
802	0.01585
800	0.01532
798	0.01489
796	0.01464
794	0.01408
792	0.01430
790	0.01440
788	0.01425
786	0.01412
784	0.01397
782	0.01441
780	0.01456
778	0.01435
776	0.01422
774	0.01405
772	0.01424
770	0.01432
768	0.01428
766	0.01409
764	0.01420
762	0.01411
760	0.01418
758	0.01420
756	0.01413
754	0.01434
752	0.01435
750	0.01441
748	0.01433
746	0.01421
744	0.01423
742	0.01415
740	0.01413
738	0.01446
736	0.01433
734	0.01415
732	0.01428
730	0.01426
728	0.01433
726	0.01460
724	0.01526
722	0.01546
720	0.01519
718	0.01495
716	0.01470
714	0.01457
712	0.01430
710	0.01429
708	0.01430
706	0.01423
704	0.01424
702	0.01451
700	0.01454
698	0.01436
696	0.01437
694	0.01442
692	0.01426
690	0.01436
688	0.01433
686	0.01449
684	0.01473
682	0.01452
680	0.01455
678	0.01465
676	0.01462
674	0.01458
672	0.01446
670	0.01437
668	0.01425
666	0.01442
664	0.01453
662	0.01453
660	0.01440
658	0.01442
656	0.01436
654	0.01439
652	0.01451
650	0.01464
648	0.01465
646	0.01469
644	0.01452
642	0.01447
640	0.01450
638	0.01452
636	0.01465
634	0.01480
632	0.01468
630	0.01456
628	0.01458
626	0.01459
624	0.01471
622	0.01476
620	0.01468
618	0.01479
616	0.01499
614	0.01490
612	0.01475
610	0.01478
608	0.01493
606	0.01494
604	0.01484
602	0.01487
600	0.01479
598	0.01475
596	0.01487
594	0.01486
592	0.01491
590	0.01499
588	0.01498
586	0.01505
584	0.01504
582	0.01479
580	0.01470
578	0.01493
576	0.01501
574	0.01501
572	0.01503
570	0.01501
568	0.01490
566	0.01493
564	0.01499
562	0.01503
560	0.01511
558	0.01510
556	0.01502
554	0.01489
552	0.01492
550	0.01516
548	0.01516
546	0.01521
544	0.01520
542	0.01527
540	0.01528
538	0.01521
536	0.01523
534	0.01519
532	0.01538
530	0.01542
528	0.01533
526	0.01541
524	0.01550
522	0.01532
520	0.01534
518	0.01532
516	0.01530
514	0.01546
512	0.01540
510	0.01546
508	0.01548
506	0.01556
504	0.01555
502	0.01540
500	0.01542
498	0.01568
496	0.01576
494	0.01560
492	0.01557
490	0.01564
488	0.01568
486	0.01561
484	0.01571
482	0.01571
480	0.01588
478	0.01584
476	0.01581
474	0.01605
472	0.01585
470	0.01584
468	0.01597
466	0.01591
464	0.01596
462	0.01602
460	0.01589
458	0.01574
456	0.01605
454	0.01600
452	0.01597
450	0.01629
448	0.01602
446	0.01622
444	0.01620
442	0.01634
440	0.01619
438	0.01616
436	0.01591
434	0.01610
432	0.01640
430	0.01652
428	0.01638
426	0.01658
424	0.01650
422	0.01664
420	0.01676
418	0.01669
416	0.01657
414	0.01660
412	0.01671
410	0.01670
408	0.01681
406	0.01676
404	0.01701
402	0.01682
400	0.01693
398	0.01700
396	0.01691
394	0.01747
392	0.01698
390	0.01749
388	0.01726
386	0.01755
384	0.01750
382	0.01753
380	0.01762
378	0.01765
376	0.01778
374	0.01787
372	0.01830
370	0.01816
368	0.01809
366	0.01855
364	0.01829
362	0.01861
360	0.01869
358	0.01862
356	0.01866
354	0.01886
352	0.01867
350	0.01873
348	0.01902
346	0.01946
344	0.01924
342	0.01925
340	0.01942
338	0.01965
336	0.01965
334	0.01971
332	0.02041
330	0.02026
328	0.02090
326	0.02066
324	0.02082
322	0.02103
320	0.02155
318	0.02133
316	0.02120
314	0.02143
312	0.02161
310	0.02156
308	0.02224
306	0.02212
304	0.02242
302	0.02266
300	0.02283
298	0.02335
296	0.02393
294	0.02467
292	0.02513
290	0.02571
288	0.02676
286	0.02752
284	0.02877
282	0.02953
280	0.03077
278	0.03202
276	0.03338
274	0.03507
272	0.03784
270	0.04115
268	0.04574
266	0.05213
264	0.06132
262	0.07377
260	0.09175
258	0.1175
256	0.1544
254	0.2072
252	0.2852
250	0.3991
248	0.5648
246	0.8038
244	1.152
242	1.661
240	2.401
238	3.466
236	3.986
234	3.986
232	3.986
230	3.986
228	3.986
226	3.986
224	3.986
222	3.986
220	3.986
218	3.986
216	3.986
214	3.986
212	3.986
210	3.986
208	3.986
206	3.986
204	3.986
202	3.986
200	3.986
	
