	A
	
	CCl4.Sample.Raw.csv
1432	-0.004173
1430	-0.004177
1428	-0.004168
1426	-0.004053
1424	-0.004025
1422	-0.003949
1420	-0.003976
1418	-0.003937
1416	-0.003850
1414	-0.003764
1412	-0.003547
1410	-0.003473
1408	-0.003347
1406	-0.003131
1404	-0.003079
1402	-0.002968
1400	-0.002804
1398	-0.002789
1396	-0.002722
1394	-0.002650
1392	-0.002796
1390	-0.002928
1388	-0.003060
1386	-0.003112
1384	-0.003211
1382	-0.003205
1380	-0.003417
1378	-0.003428
1376	-0.003418
1374	-0.003574
1372	-0.003636
1370	-0.003570
1368	-0.003572
1366	-0.003712
1364	-0.003816
1362	-0.003829
1360	-0.003980
1358	-0.004033
1356	-0.004069
1354	-0.004051
1352	-0.004113
1350	-0.004049
1348	-0.004146
1346	-0.004234
1344	-0.004129
1342	-0.004206
1340	-0.004234
1338	-0.004258
1336	-0.004196
1334	-0.004158
1332	-0.004140
1330	-0.004219
1328	-0.004174
1326	-0.004075
1324	-0.004258
1322	-0.004123
1320	-0.004217
1318	-0.004190
1316	-0.004190
1314	-0.004227
1312	-0.004277
1310	-0.004231
1308	-0.004205
1306	-0.004198
1304	-0.004209
1302	-0.004170
1300	-0.004144
1298	-0.004170
1296	-0.004142
1294	-0.004185
1292	-0.004222
1290	-0.004218
1288	-0.004159
1286	-0.004223
1284	-0.004215
1282	-0.004152
1280	-0.004226
1278	-0.004196
1276	-0.004190
1274	-0.004141
1272	-0.004102
1270	-0.004121
1268	-0.004158
1266	-0.004171
1264	-0.004171
1262	-0.004179
1260	-0.004213
1258	-0.004248
1256	-0.004157
1254	-0.004112
1252	-0.004139
1250	-0.004115
1248	-0.004101
1246	-0.004144
1244	-0.004114
1242	-0.004133
1240	-0.004161
1238	-0.004132
1236	-0.004148
1234	-0.004081
1232	-0.004112
1230	-0.004055
1228	-0.003999
1226	-0.004003
1224	-0.004052
1222	-0.004055
1220	-0.004130
1218	-0.004165
1216	-0.004135
1214	-0.004099
1212	-0.004002
1210	-0.004008
1208	-0.004029
1206	-0.004023
1204	-0.004025
1202	-0.003997
1200	-0.004038
1198	-0.004065
1196	-0.004039
1194	-0.004016
1192	-0.004025
1190	-0.004036
1188	-0.004029
1186	-0.004000
1184	-0.003955
1182	-0.004024
1180	-0.003987
1178	-0.003952
1176	-0.003947
1174	-0.003968
1172	-0.003968
1170	-0.003973
1168	-0.003930
1166	-0.003898
1164	-0.003878
1162	-0.003845
1160	-0.003871
1158	-0.003876
1156	-0.003884
1154	-0.003823
1152	-0.003796
1150	-0.003833
1148	-0.003856
1146	-0.003846
1144	-0.003851
1142	-0.003825
1140	-0.003803
1138	-0.003879
1136	-0.003909
1134	-0.003853
1132	-0.003796
1130	-0.003796
1128	-0.003828
1126	-0.003851
1124	-0.003837
1122	-0.003815
1120	-0.003831
1118	-0.003811
1116	-0.003831
1114	-0.003855
1112	-0.003878
1110	-0.003937
1108	-0.003882
1106	-0.003896
1104	-0.003898
1102	-0.003859
1100	-0.003872
1098	-0.003850
1096	-0.003798
1094	-0.003839
1092	-0.003910
1090	-0.003858
1088	-0.003794
1086	-0.003791
1084	-0.003843
1082	-0.003860
1080	-0.003807
1078	-0.003782
1076	-0.003821
1074	-0.003753
1072	-0.003751
1070	-0.003808
1068	-0.003819
1066	-0.003770
1064	-0.003717
1062	-0.003685
1060	-0.003760
1058	-0.003761
1056	-0.003731
1054	-0.003702
1052	-0.003744
1050	-0.003738
1048	-0.003720
1046	-0.003708
1044	-0.003705
1042	-0.003736
1040	-0.003714
1038	-0.003684
1036	-0.003721
1034	-0.003717
1032	-0.003687
1030	-0.003694
1028	-0.003684
1026	-0.003660
1024	-0.003742
1022	-0.003684
1020	-0.003727
1018	-0.003743
1016	-0.003675
1014	-0.003678
1012	-0.003595
1010	-0.003661
1008	-0.003596
1006	-0.003672
1004	-0.003738
1002	-0.003572
1000	-0.003636
998	-0.003620
996	-0.003619
994	-0.003599
992	-0.003517
990	-0.003587
988	-0.003590
986	-0.003464
984	-0.003466
982	-0.003512
980	-0.003464
978	-0.003559
976	-0.003530
974	-0.003498
972	-0.003484
970	-0.003528
968	-0.003380
966	-0.003392
964	-0.003446
962	-0.003391
960	-0.003329
958	-0.003409
956	-0.003386
954	-0.003295
952	-0.003419
950	-0.003332
948	-0.003367
946	-0.003298
944	-0.003311
942	-0.003256
940	-0.003257
938	-0.003354
936	-0.003177
934	-0.003327
932	-0.003305
930	-0.003274
928	-0.003251
926	-0.003340
924	-0.003298
922	-0.003169
920	-0.003197
918	-0.003105
916	-0.003210
914	-0.003119
912	-0.003159
910	-0.003182
908	-0.003164
906	-0.003287
904	-0.003212
902	-0.003045
900	-0.003010
898	-0.002938
896	-0.003010
894	-0.003029
892	-0.002841
890	-0.003121
888	-0.003172
886	-0.003105
884	-0.003236
882	-0.003027
880	-0.003087
878	-0.003306
876	-0.002873
874	-0.002969
872	-0.002843
870	-0.002995
868	-0.003034
866	-0.002860
864	-0.002870
862	-0.002610
860	-0.01062
858	-0.002037
856	-0.002530
854	-0.002530
852	-0.002816
850	-0.002302
848	-0.002736
846	-0.002265
844	-0.002364
842	-0.002679
840	-0.002452
838	-0.002406
836	-0.001960
834	-0.002748
832	-0.002264
830	-0.002227
828	-0.002372
826	-0.002412
824	-0.001926
822	-0.002336
820	-0.001867
818	-0.002352
816	-0.002086
814	-0.002600
812	-0.002255
810	-0.002112
808	-0.002673
806	-0.002208
804	-0.002296
802	-0.002504
800	-0.002411
798	-0.002203
796	-0.001888
794	-0.002353
792	-0.002250
790	-0.002467
788	-0.002152
786	-0.002094
784	-0.002282
782	-0.002096
780	-0.001938
778	-0.002270
776	-0.002149
774	-0.002244
772	-0.002058
770	-0.002194
768	-0.002031
766	-0.002009
764	-0.002154
762	-0.002114
760	-0.002499
758	-0.002406
756	-0.002333
754	-0.002394
752	-0.002248
750	-0.001950
748	-0.002112
746	-0.002093
744	-0.002201
742	-0.002378
740	-0.002280
738	-0.002339
736	-0.002325
734	-0.002151
732	-0.002329
730	-0.002319
728	-0.002083
726	-0.002077
724	-0.002023
722	-0.002324
720	-0.002271
718	-0.002227
716	-0.002169
714	-0.002015
712	-0.002327
710	-0.002324
708	-0.002277
706	-0.002120
704	-0.002071
702	-0.002022
700	-0.002106
698	-0.002047
696	-0.002226
694	-0.002270
692	-0.002373
690	-0.002260
688	-0.002321
686	-0.002187
684	-0.002010
682	-0.001995
680	-0.002082
678	-0.002067
676	-0.002041
674	-0.002109
672	-0.002241
670	-0.002273
668	-0.002081
666	-0.002072
664	-0.002038
662	-0.002025
660	-0.002114
658	-0.002201
656	-0.002188
654	-0.002098
652	-0.002035
650	-0.001947
648	-0.002024
646	-0.002055
644	-0.002090
642	-0.002082
640	-0.002118
638	-0.002065
636	-0.001961
634	-0.001911
632	-0.001863
630	-0.001977
628	-0.002082
626	-0.002077
624	-0.001992
622	-0.001911
620	-0.001881
618	-0.001932
616	-0.001980
614	-0.002018
612	-0.002003
610	-0.002046
608	-0.001927
606	-0.001845
604	-0.001946
602	-0.001795
600	-0.001751
598	-0.001860
596	-0.001858
594	-0.001925
592	-0.001799
590	-0.001621
588	-0.001650
586	-0.001801
584	-0.001867
582	-0.001890
580	-0.001834
578	-0.001760
576	-0.001719
574	-0.001777
572	-0.001896
570	-0.001888
568	-0.001772
566	-0.001794
564	-0.001735
562	-0.001658
560	-0.001591
558	-0.001705
556	-0.001755
554	-0.001855
552	-0.001794
550	-0.001501
548	-0.001544
546	-0.001645
544	-0.001735
542	-0.001609
540	-0.001464
538	-0.001583
536	-0.001608
534	-0.001648
532	-0.001513
530	-0.001438
528	-0.001419
526	-0.001393
524	-0.001458
522	-0.001449
520	-0.001328
518	-0.001415
516	-0.001542
514	-0.001352
512	-0.001325
510	-0.001338
508	-0.001186
506	-0.001142
504	-0.001247
502	-0.001313
500	-0.001246
498	-0.001057
496	-0.001049
494	-0.001143
492	-0.001198
490	-0.001338
488	-0.001001
486	-0.001231
484	-0.001124
482	-0.001055
480	-8.870E-4
478	-0.001103
476	-0.001070
474	-8.270E-4
472	-0.001002
470	-0.001001
468	-9.020E-4
466	-8.450E-4
464	-0.001078
462	-7.850E-4
460	-9.330E-4
458	-9.140E-4
456	-6.640E-4
454	-8.600E-4
452	-9.640E-4
450	-7.040E-4
448	-8.580E-4
446	-7.640E-4
444	-7.240E-4
442	-6.820E-4
440	-7.580E-4
438	-8.200E-4
436	-8.310E-4
434	-6.790E-4
432	-3.070E-4
430	-4.280E-4
428	-5.890E-4
426	-5.060E-4
424	-5.750E-4
422	-4.150E-4
420	-3.390E-4
418	-4.460E-4
416	-5.600E-4
414	-4.050E-4
412	-5.180E-4
410	-5.070E-4
408	-2.290E-4
406	-2.910E-4
404	-1.140E-4
402	-1.360E-4
400	-1.130E-4
398	8.200E-5
396	-1.990E-4
394	2.690E-4
392	3.500E-5
390	1.160E-4
388	1.600E-5
386	1.300E-4
384	-8.000E-6
382	1.010E-4
380	4.140E-4
378	6.300E-4
376	6.220E-4
374	6.140E-4
372	0.001071
370	4.320E-4
368	7.950E-4
366	8.040E-4
364	7.020E-4
362	0.001052
360	9.730E-4
358	0.001283
356	0.001265
354	0.001445
352	0.001634
350	0.001381
348	0.001785
346	0.002183
