	A
	
	Cyclohexane.Sample.Raw.csv
6518.90482	0.05988
6527.41514	0.06308
6535.94771	0.06710
6544.50262	0.07201
6553.07995	0.07756
6561.67979	0.08335
6570.30223	0.08900
6578.94737	0.09404
6587.61528	0.09813
6596.30607	0.1013
6605.01982	0.1035
6613.75661	0.1045
6622.51656	0.1047
6631.29973	0.1046
6640.10624	0.1046
6648.93617	0.1052
6657.78961	0.1069
6666.66667	0.1099
6675.56742	0.1140
6684.49198	0.1192
6693.44043	0.1253
6702.41287	0.1317
6711.4094	0.1382
6720.43011	0.1441
6729.4751	0.1490
6738.54447	0.1529
6747.63833	0.1558
6756.75676	0.1578
6765.89986	0.1594
6775.06775	0.1608
6784.26052	0.1624
6793.47826	0.1643
6802.72109	0.1666
6811.9891	0.1698
6821.2824	0.1734
6830.60109	0.1778
6839.94528	0.1831
6849.31507	0.1897
6858.71056	0.1977
6868.13187	0.2072
6877.57909	0.2181
6887.05234	0.2304
6896.55172	0.2440
6906.07735	0.2585
6915.62932	0.2730
6925.20776	0.2864
6934.81276	0.2982
6944.44444	0.3082
6954.10292	0.3166
6963.7883	0.3234
6973.5007	0.3290
6983.24022	0.3341
6993.00699	0.3401
7002.80112	0.3479
7012.62272	0.3575
7022.47191	0.3681
7032.3488	0.3793
7042.25352	0.3905
7052.18618	0.4009
7062.14689	0.4094
7072.13579	0.4139
7082.15297	0.4129
7092.19858	0.4073
7102.27273	0.3995
7112.37553	0.3921
7122.50712	0.3867
7132.66762	0.3846
7142.85714	0.3860
7153.07582	0.3901
7163.32378	0.3967
7173.60115	0.4040
7183.90805	0.4083
7194.2446	0.4059
7204.61095	0.3938
7215.00722	0.3719
7225.43353	0.3413
7235.89001	0.3056
7246.37681	0.2677
7256.89405	0.2310
7267.44186	0.1959
7278.02038	0.1637
7288.62974	0.1352
7299.27007	0.1107
7309.94152	0.08951
7320.64422	0.07173
7331.3783	0.05666
7342.14391	0.04406
7352.94118	0.03338
7363.77025	0.02482
7374.63127	0.01788
7385.52437	0.01247
7396.4497	0.008437
7407.40741	0.005379
7418.39763	0.003236
7429.42051	0.001683
7440.47619	6.080E-4
7451.56483	-2.220E-4
7462.68657	-6.810E-4
7473.84155	-9.010E-4
7485.02994	-9.740E-4
7496.25187	-8.180E-4
7507.50751	-6.600E-4
7518.79699	-4.450E-4
7530.12048	5.100E-5
7541.47813	6.830E-4
7552.87009	0.001195
7564.29652	0.002039
7575.75758	0.002898
7587.25341	0.003923
7598.78419	0.005170
7610.35008	0.006240
7621.95122	0.007489
7633.58779	0.008735
7645.25994	0.009952
7656.96784	0.01117
7668.71166	0.01249
7680.49155	0.01384
7692.30769	0.01526
7704.16025	0.01677
7716.04938	0.01862
7727.97527	0.02055
7739.93808	0.02279
7751.93798	0.02507
7763.97516	0.02765
7776.04977	0.03028
7788.16199	0.03300
7800.31201	0.03589
