	A
	
	DCM.Sample.Raw.csv
1320	0.003638
1318	0.002694
1316	0.002056
1314	0.001717
1312	0.001508
1310	0.001362
1308	0.001425
1306	0.001448
1304	0.001465
1302	0.001352
1300	0.001203
1298	9.420E-4
1296	6.830E-4
1294	3.060E-4
1292	-6.100E-5
1290	-3.070E-4
1288	-5.110E-4
1286	-8.330E-4
1284	-0.001053
1282	-0.001125
1280	-0.001236
1278	-0.001302
1276	-0.001332
1274	-0.001349
1272	-0.001425
1270	-0.001453
1268	-0.001542
1266	-0.001475
1264	-0.001492
1262	-0.001398
1260	-0.001268
1258	-0.001083
1256	-7.050E-4
1254	-3.400E-4
1252	2.800E-5
1250	4.620E-4
1248	9.360E-4
1246	0.001388
1244	0.001948
1242	0.002498
1240	0.003240
1238	0.004141
1236	0.005137
1234	0.006379
1232	0.007621
1230	0.008894
1228	0.01002
1226	0.01099
1224	0.01168
1222	0.01209
1220	0.01230
1218	0.01245
1216	0.01266
1214	0.01287
1212	0.01322
1210	0.01355
1208	0.01396
1206	0.01459
1204	0.01513
1202	0.01550
1200	0.01562
1198	0.01553
1196	0.01530
1194	0.01500
1192	0.01458
1190	0.01412
1188	0.01371
1186	0.01366
1184	0.01438
1182	0.01606
1180	0.01906
1178	0.02374
1176	0.03091
1174	0.04162
1172	0.05685
1170	0.07741
1168	0.1033
1166	0.1342
1164	0.1702
1162	0.2105
1160	0.2526
1158	0.2929
1156	0.3260
1154	0.3461
1152	0.3504
1150	0.3391
1148	0.3151
1146	0.2821
1144	0.2439
1142	0.2052
1140	0.1701
1138	0.1405
1136	0.1167
1134	0.09840
1132	0.08464
1130	0.07471
1128	0.06832
1126	0.06474
1124	0.06269
1122	0.06075
1120	0.05798
1118	0.05447
1116	0.05039
1114	0.04583
1112	0.04084
1110	0.03527
1108	0.02948
1106	0.02374
1104	0.01858
1102	0.01424
1100	0.01055
1098	0.007344
1096	0.004771
1094	0.002590
1092	0.001053
1090	1.320E-4
1088	-4.060E-4
1086	-6.770E-4
1084	-7.450E-4
1082	-6.900E-4
1080	-5.350E-4
1078	-3.700E-4
1076	-2.750E-4
1074	-8.100E-5
1072	-1.400E-5
1070	1.330E-4
1068	3.510E-4
1066	6.750E-4
1064	9.480E-4
1062	0.001281
1060	0.001589
1058	0.002024
1056	0.002456
1054	0.002814
1052	0.002978
1050	0.003094
1048	0.003068
1046	0.002909
1044	0.002764
1042	0.002540
1040	0.002491
1038	0.002820
1036	0.003492
1034	0.004444
1032	0.005831
1030	0.007446
1028	0.009176
1026	0.01096
1024	0.01261
1022	0.01385
1020	0.01442
1018	0.01442
1016	0.01401
1014	0.01313
1012	0.01206
1010	0.01076
1008	0.009426
1006	0.008113
1004	0.006974
1002	0.006350
1000	0.005728
998	0.005429
996	0.005020
994	0.004511
992	0.004166
990	0.003784
988	0.003285
986	0.002816
984	0.002148
982	0.001545
980	9.720E-4
978	3.300E-4
976	-2.310E-4
974	-5.910E-4
972	-9.110E-4
970	-0.001288
968	-0.001489
966	-0.001679
964	-0.001871
962	-0.001875
960	-0.001955
958	-0.002166
956	-0.002185
954	-0.002274
952	-0.002442
950	-0.002391
948	-0.002475
946	-0.002524
944	-0.002492
942	-0.002487
940	-0.002480
938	-0.002457
936	-0.002427
934	-0.002454
932	-0.002394
930	-0.002251
928	-0.002145
926	-0.002091
924	-0.001945
922	-0.001742
920	-0.001751
918	-0.001474
916	-0.001459
914	-0.001344
912	-0.001100
910	-0.001102
908	-8.950E-4
906	-6.150E-4
904	-2.570E-4
902	4.670E-4
900	0.001532
898	0.002802
896	0.004451
894	0.006578
892	0.008979
890	0.01124
888	0.01369
886	0.01586
884	0.01738
882	0.01815
880	0.01796
878	0.01686
876	0.01564
874	0.01341
872	0.01106
870	0.008527
868	0.006366
866	0.004568
864	0.002621
862	0.001896
860	0.002911
858	4.690E-4
856	-5.100E-5
854	5.300E-4
852	-3.800E-5
850	2.110E-4
848	-0.001275
846	-0.001717
844	-0.001640
842	-0.002195
840	-0.002444
838	-0.002747
836	-0.001912
834	-0.002627
832	-0.001939
830	-0.002598
828	-0.001898
826	-0.002546
824	-0.001979
822	-0.002305
820	-0.002248
818	-0.001978
816	-0.002093
814	-0.002466
812	-0.001972
810	-0.001967
808	-0.001992
806	-8.620E-4
804	-9.900E-4
802	-0.001477
800	-0.001685
798	-0.001846
796	-0.001907
794	-0.001959
792	-0.001965
790	-0.002263
788	-0.002129
786	-0.002293
784	-0.002532
782	-0.002358
780	-0.002264
778	-0.002317
776	-0.002559
774	-0.002831
772	-0.002666
770	-0.002378
768	-0.002640
766	-0.002530
764	-0.002683
762	-0.002655
760	-0.002704
758	-0.002687
756	-0.002670
754	-0.002678
752	-0.002579
750	-0.002496
748	-0.002713
746	-0.002580
744	-0.002681
742	-0.002738
740	-0.002711
738	-0.002415
736	-0.002296
734	-0.002153
732	-0.002427
730	-0.002104
728	-0.001365
726	-6.380E-4
724	-1.910E-4
722	-2.090E-4
720	-2.900E-4
