	A
	
	Cyclohexane.Sample.Raw.csv
1318	0.003923
1316	0.005170
1314	0.006240
1312	0.007489
1310	0.008735
1308	0.009952
1306	0.01117
1304	0.01249
1302	0.01384
1300	0.01526
1298	0.01677
1296	0.01862
1294	0.02055
1292	0.02279
1290	0.02507
1288	0.02765
1286	0.03028
1284	0.03300
1282	0.03589
1280	0.03870
1278	0.04161
1276	0.04470
1274	0.04796
1272	0.05134
1270	0.05490
1268	0.05869
1266	0.06289
1264	0.06746
1262	0.07266
1260	0.07837
1258	0.08490
1256	0.09281
1254	0.1021
1252	0.1126
1250	0.1246
1248	0.1382
1246	0.1531
1244	0.1696
1242	0.1876
1240	0.2075
1238	0.2295
1236	0.2546
1234	0.2837
1232	0.3175
1230	0.3570
1228	0.4028
1226	0.4554
1224	0.5151
1222	0.5813
1220	0.6523
1218	0.7252
1216	0.7978
1214	0.8651
1212	0.9231
1210	0.9667
1208	0.9909
1206	0.9939
1204	0.9785
1202	0.9496
1200	0.9124
1198	0.8689
1196	0.8192
1194	0.7656
1192	0.7098
1190	0.6532
1188	0.5980
1186	0.5448
1184	0.4916
1182	0.4404
1180	0.3934
1178	0.3512
1176	0.3134
1174	0.2805
1172	0.2520
1170	0.2268
1168	0.2043
1166	0.1840
1164	0.1653
1162	0.1473
1160	0.1298
1158	0.1124
1156	0.09498
1154	0.07834
1152	0.06281
1150	0.04858
1148	0.03601
1146	0.02525
1144	0.01604
1142	0.008358
1140	0.002160
1138	-0.002860
1136	-0.006919
1134	-0.01017
1132	-0.01283
1130	-0.01510
1128	-0.01689
1126	-0.01826
1124	-0.01927
1122	-0.01993
1120	-0.02044
1118	-0.02068
1116	-0.02083
1114	-0.02081
1112	-0.02068
1110	-0.02044
1108	-0.02011
1106	-0.01983
1104	-0.01946
1102	-0.01907
1100	-0.01871
1098	-0.01834
1096	-0.01799
1094	-0.01774
1092	-0.01751
1090	-0.01723
1088	-0.01692
1086	-0.01658
1084	-0.01624
1082	-0.01584
1080	-0.01537
1078	-0.01485
1076	-0.01441
1074	-0.01375
1072	-0.01314
1070	-0.01242
1068	-0.01169
1066	-0.01092
1064	-0.01019
1062	-0.009471
1060	-0.008760
1058	-0.008057
1056	-0.007304
1054	-0.006620
1052	-0.005954
1050	-0.005300
1048	-0.004662
1046	-0.004119
1044	-0.003639
1042	-0.003376
1040	-0.003217
1038	-0.003210
1036	-0.003395
1034	-0.003828
1032	-0.004296
1030	-0.005006
1028	-0.005834
1026	-0.006749
1024	-0.007733
1022	-0.008675
1020	-0.009701
1018	-0.01076
1016	-0.01184
1014	-0.01312
1012	-0.01431
1010	-0.01562
1008	-0.01685
1006	-0.01824
1004	-0.01963
1002	-0.02076
1000	-0.02201
998	-0.02293
996	-0.02390
994	-0.02479
992	-0.02549
990	-0.02616
988	-0.02664
986	-0.02700
984	-0.02729
982	-0.02740
980	-0.02746
978	-0.02746
976	-0.02733
974	-0.02700
972	-0.02667
970	-0.02623
968	-0.02568
966	-0.02501
964	-0.02436
962	-0.02338
960	-0.02230
958	-0.02111
956	-0.01942
954	-0.01729
952	-0.01486
950	-0.01156
948	-0.007848
946	-0.003373
944	0.001728
942	0.007437
940	0.01328
938	0.01967
936	0.02599
934	0.03180
932	0.03704
930	0.04154
928	0.04487
926	0.04694
924	0.04750
922	0.04646
920	0.04376
918	0.04002
916	0.03484
914	0.02934
912	0.02337
910	0.01710
908	0.01098
906	0.005266
904	3.280E-4
902	-0.004040
900	-0.007558
898	-0.01056
896	-0.01343
894	-0.01542
892	-0.01720
890	-0.01911
888	-0.02051
886	-0.02181
884	-0.02302
882	-0.02411
880	-0.02500
878	-0.02582
876	-0.02634
874	-0.02704
872	-0.02717
870	-0.02781
868	-0.02806
866	-0.02812
864	-0.02873
862	-0.02854
860	-0.04844
858	-0.02838
856	-0.02905
854	-0.02794
852	-0.02894
850	-0.02882
848	-0.02898
846	-0.02884
844	-0.02845
842	-0.02887
840	-0.02919
838	-0.02888
836	-0.02870
834	-0.02961
832	-0.02865
830	-0.02879
828	-0.02895
826	-0.02934
824	-0.02878
822	-0.02941
820	-0.02913
818	-0.02951
816	-0.02937
814	-0.03008
812	-0.03007
810	-0.02989
808	-0.03073
806	-0.03028
804	-0.03061
802	-0.03060
800	-0.03087
798	-0.03043
796	-0.03061
794	-0.03070
792	-0.03073
790	-0.03083
788	-0.03050
786	-0.03067
784	-0.03065
782	-0.03020
780	-0.02987
778	-0.03004
776	-0.02985
774	-0.02944
772	-0.02851
770	-0.02748
768	-0.02628
766	-0.02537
764	-0.02518
762	-0.02481
760	-0.02431
758	-0.02374
756	-0.02307
754	-0.02352
752	-0.02458
750	-0.02568
748	-0.02669
746	-0.02744
744	-0.02824
742	-0.02873
740	-0.02911
738	-0.02940
736	-0.02982
734	-0.02993
732	-0.03022
730	-0.03044
728	-0.03049
