	A
	
	Chloroform.Sample.Raw.csv
6426.73522	0.01559
6435.00644	0.01613
6443.29897	0.01686
6451.6129	0.01792
6459.94832	0.01942
6468.3053	0.02144
6476.68394	0.02418
6485.08431	0.02754
6493.50649	0.03136
6501.95059	0.03561
6510.41667	0.04015
6518.90482	0.04473
6527.41514	0.04896
6535.94771	0.05252
6544.50262	0.05502
6553.07995	0.05626
6561.67979	0.05631
6570.30223	0.05542
6578.94737	0.05358
6587.61528	0.05111
6596.30607	0.04829
6605.01982	0.04551
6613.75661	0.04313
6622.51656	0.04135
6631.29973	0.04006
6640.10624	0.03927
6648.93617	0.03868
6657.78961	0.03820
6666.66667	0.03776
6675.56742	0.03708
6684.49198	0.03597
6693.44043	0.03435
6702.41287	0.03223
6711.4094	0.02996
6720.43011	0.02755
6729.4751	0.02525
6738.54447	0.02319
6747.63833	0.02138
6756.75676	0.01992
6765.89986	0.01889
6775.06775	0.01816
6784.26052	0.01765
6793.47826	0.01729
6802.72109	0.01700
6811.9891	0.01686
6821.2824	0.01666
6830.60109	0.01657
6839.94528	0.01652
6849.31507	0.01648
6858.71056	0.01651
6868.13187	0.01664
6877.57909	0.01684
6887.05234	0.01703
6896.55172	0.01719
6906.07735	0.01739
6915.62932	0.01764
6925.20776	0.01794
6934.81276	0.01843
6944.44444	0.01930
6954.10292	0.02074
6963.7883	0.02318
6973.5007	0.02703
6983.24022	0.03296
6993.00699	0.04208
7002.80112	0.05593
7012.62272	0.07554
7022.47191	0.1015
7032.3488	0.1344
7042.25352	0.1736
7052.18618	0.2171
7062.14689	0.2641
7072.13579	0.3095
7082.15297	0.3466
7092.19858	0.3679
7102.27273	0.3680
7112.37553	0.3471
7122.50712	0.3107
7132.66762	0.2666
7142.85714	0.2213
7153.07582	0.1795
7163.32378	0.1419
7173.60115	0.1109
7183.90805	0.08673
7194.2446	0.06871
7204.61095	0.05554
7215.00722	0.04627
7225.43353	0.03952
7235.89001	0.03440
7246.37681	0.03040
7256.89405	0.02723
7267.44186	0.02484
7278.02038	0.02270
7288.62974	0.02134
7299.27007	0.02029
7309.94152	0.01952
7320.64422	0.01882
7331.3783	0.01847
7342.14391	0.01810
7352.94118	0.01777
7363.77025	0.01749
7374.63127	0.01725
7385.52437	0.01701
7396.4497	0.01674
7407.40741	0.01657
7418.39763	0.01625
7429.42051	0.01600
7440.47619	0.01582
7451.56483	0.01554
7462.68657	0.01534
7473.84155	0.01504
7485.02994	0.01488
7496.25187	0.01469
7507.50751	0.01440
7518.79699	0.01423
7530.12048	0.01400
7541.47813	0.01386
7552.87009	0.01366
7564.29652	0.01367
7575.75758	0.01364
7587.25341	0.01365
7598.78419	0.01377
7610.35008	0.01384
7621.95122	0.01404
7633.58779	0.01414
7645.25994	0.01440
7656.96784	0.01453
7668.71166	0.01469
7680.49155	0.01475
7692.30769	0.01482
7704.16025	0.01488
7716.04938	0.01496
7727.97527	0.01480
7739.93808	0.01477
7751.93798	0.01472
7763.97516	0.01475
7776.04977	0.01462
7788.16199	0.01461
7800.31201	0.01461
7812.5	0.01462
7824.72613	0.01466
7836.9906	0.01467
7849.29356	0.01462
7861.63522	0.01460
7874.01575	0.01448
7886.43533	0.01431
7898.89415	0.01419
7911.39241	0.01402
7923.93027	0.01394
7936.50794	0.01385
7949.1256	0.01370
7961.78344	0.01367
7974.48166	0.01368
7987.22045	0.01365
8000	0.01359
8012.82051	0.01363
8025.68218	0.01363
8038.58521	0.01369
8051.52979	0.01369
8064.51613	0.01376
8077.54443	0.01390
8090.61489	0.01416
8103.72771	0.01467
8116.88312	0.01559
8130.0813	0.01706
8143.32248	0.01912
8156.60685	0.02152
8169.93464	0.02427
8183.30606	0.02727
8196.72131	0.03023
8210.18062	0.03286
8223.68421	0.03493
8237.23229	0.03593
8250.82508	0.03589
8264.46281	0.03471
8278.1457	0.03265
8291.87396	0.03022
8305.64784	0.02749
8319.46755	0.02474
8333.33333	0.02215
8347.24541	0.01997
8361.20401	0.01827
8375.20938	0.01705
8389.26174	0.01620
8403.36134	0.01569
8417.50842	0.01535
8431.7032	0.01514
8445.94595	0.01509
8460.23689	0.01511
8474.57627	0.01539
8488.96435	0.01601
8503.40136	0.01710
8517.88756	0.01922
8532.42321	0.02323
8547.00855	0.03019
8561.64384	0.04122
8576.32933	0.05673
8591.06529	0.07665
8605.85198	0.1003
8620.68966	0.1264
8635.57858	0.1537
8650.51903	0.1797
8665.51127	0.2005
8680.55556	0.2120
8695.65217	0.2119
8710.80139	0.2010
8726.00349	0.1819
8741.25874	0.1579
8756.56743	0.1320
8771.92982	0.1071
8787.34622	0.08459
8802.8169	0.06540
8818.34215	0.05044
8833.92226	0.03956
8849.55752	0.03195
8865.24823	0.02670
8880.99467	0.02308
8896.79715	0.02061
8912.65597	0.01884
8928.57143	0.01754
8944.54383	0.01665
8960.57348	0.01598
8976.66068	0.01544
8992.80576	0.01505
9009.00901	0.01475
9025.27076	0.01455
9041.59132	0.01437
9057.97101	0.01416
9074.41016	0.01406
9090.90909	0.01396
9107.46812	0.01389
9124.08759	0.01391
9140.76782	0.01377
9157.50916	0.01372
9174.31193	0.01372
9191.17647	0.01375
9208.10313	0.01384
9225.09225	0.01399
9242.14418	0.01419
9259.25926	0.01456
9276.43785	0.01510
9293.6803	0.01560
9310.98696	0.01615
9328.35821	0.01679
9345.79439	0.01739
9363.29588	0.01783
9380.86304	0.01818
9398.49624	0.01834
9416.19586	0.01829
9433.96226	0.01802
9451.79584	0.01770
9469.69697	0.01729
9487.66603	0.01673
9505.70342	0.01613
9523.80952	0.01560
9541.98473	0.01522
9560.22945	0.01482
9578.54406	0.01463
9596.92898	0.01445
9615.38462	0.01436
9633.91137	0.01440
9652.50965	0.01455
9671.17988	0.01491
9689.92248	0.01569
9708.73786	0.01693
9727.62646	0.01840
9746.58869	0.02015
9765.625	0.02205
9784.73581	0.02407
9803.92157	0.02590
9823.18271	0.02740
9842.51969	0.02849
9861.93294	0.02860
9881.42292	0.02805
9900.9901	0.02683
9920.63492	0.02520
9940.35785	0.02331
9960.15936	0.02132
9980.03992	0.01951
10000	0.01780
10020.04008	0.01647
10040.16064	0.01549
10060.36217	0.01495
10080.64516	0.01462
10101.0101	0.01434
10121.45749	0.01424
10141.98783	0.01418
10162.60163	0.01406
10183.29939	0.01410
10204.08163	0.01405
10224.94888	0.01396
10245.90164	0.01390
10266.94045	0.01398
10288.06584	0.01395
10309.27835	0.01389
10330.57851	0.01398
10351.96687	0.01393
10373.44398	0.01389
10395.0104	0.01392
10416.66667	0.01402
10438.41336	0.01398
10460.25105	0.01393
10482.18029	0.01409
10504.20168	0.01401
10526.31579	0.01408
10548.52321	0.01395
10570.82452	0.01403
10593.22034	0.01406
10615.71125	0.01416
10638.29787	0.01410
10660.98081	0.01411
10683.76068	0.01416
10706.63812	0.01402
10729.61373	0.01408
10752.68817	0.01428
10775.86207	0.01414
10799.13607	0.01424
10822.51082	0.01433
10845.98698	0.01447
10869.56522	0.01456
10893.24619	0.01478
10917.03057	0.01465
10940.91904	0.01494
10964.91228	0.01506
10989.01099	0.01496
11013.21586	0.01510
11037.52759	0.01494
11061.9469	0.01502
11086.4745	0.01502
11111.11111	0.01534
11135.85746	0.01564
11160.71429	0.01608
11185.68233	0.01687
11210.76233	0.01796
11235.95506	0.01878
11261.26126	0.01998
11286.68172	0.02099
11312.21719	0.02193
11337.86848	0.02250
11363.63636	0.02239
11389.52164	0.02189
11415.52511	0.02164
11441.6476	0.02068
11467.88991	0.01966
11494.25287	0.01854
11520.73733	0.01753
11547.34411	0.01685
11574.07407	0.01574
11600.92807	0.01571
11627.90698	0.01399
11655.01166	0.01446
11682.24299	0.01423
11709.60187	0.01489
11737.0892	0.01431
11764.70588	0.01434
11792.45283	0.01426
11820.33097	0.01430
11848.34123	0.01404
11876.48456	0.01396
11904.7619	0.01363
11933.17422	0.01375
11961.72249	0.01426
11990.40767	0.01375
12019.23077	0.01417
12048.19277	0.01468
12077.29469	0.01505
12106.53753	0.01469
12135.92233	0.01450
12165.45012	0.01457
12195.12195	0.01494
12224.93888	0.01475
12254.90196	0.01427
12285.01229	0.01379
12315.27094	0.01419
12345.67901	0.01429
12376.23762	0.01414
12406.94789	0.01483
12437.81095	0.01539
12468.82793	0.01585
12500	0.01532
12531.32832	0.01489
12562.81407	0.01464
12594.45844	0.01408
12626.26263	0.01430
12658.22785	0.01440
12690.35533	0.01425
12722.64631	0.01412
12755.10204	0.01397
12787.72379	0.01441
12820.51282	0.01456
12853.47044	0.01435
12886.59794	0.01422
12919.89664	0.01405
12953.36788	0.01424
12987.01299	0.01432
13020.83333	0.01428
13054.83029	0.01409
13089.00524	0.01420
13123.35958	0.01411
13157.89474	0.01418
13192.61214	0.01420
13227.51323	0.01413
13262.59947	0.01434
13297.87234	0.01435
13333.33333	0.01441
13368.98396	0.01433
13404.82574	0.01421
13440.86022	0.01423
13477.08895	0.01415
13513.51351	0.01413
13550.1355	0.01446
13586.95652	0.01433
13623.9782	0.01415
13661.20219	0.01428
13698.63014	0.01426
13736.26374	0.01433
13774.10468	0.01460
13812.1547	0.01526
13850.41551	0.01546
13888.88889	0.01519
13927.5766	0.01495
13966.48045	0.01470
14005.60224	0.01457
14044.94382	0.01430
14084.50704	0.01429
14124.29379	0.01430
14164.30595	0.01423
14204.54545	0.01424
14245.01425	0.01451
14285.71429	0.01454
14326.64756	0.01436
14367.81609	0.01437
14409.2219	0.01442
14450.86705	0.01426
14492.75362	0.01436
14534.88372	0.01433
14577.25948	0.01449
14619.88304	0.01473
14662.7566	0.01452
14705.88235	0.01455
14749.26254	0.01465
14792.89941	0.01462
14836.79525	0.01458
14880.95238	0.01446
14925.37313	0.01437
14970.05988	0.01425
15015.01502	0.01442
15060.24096	0.01453
15105.74018	0.01453
15151.51515	0.01440
15197.56839	0.01442
15243.90244	0.01436
15290.51988	0.01439
15337.42331	0.01451
15384.61538	0.01464
15432.09877	0.01465
15479.87616	0.01469
15527.95031	0.01452
15576.32399	0.01447
15625	0.01450
15673.98119	0.01452
15723.27044	0.01465
15772.87066	0.01480
15822.78481	0.01468
15873.01587	0.01456
15923.56688	0.01458
15974.44089	0.01459
16025.64103	0.01471
16077.17042	0.01476
16129.03226	0.01468
16181.22977	0.01479
16233.76623	0.01499
16286.64495	0.01490
16339.86928	0.01475
16393.44262	0.01478
16447.36842	0.01493
16501.65017	0.01494
16556.29139	0.01484
16611.29568	0.01487
16666.66667	0.01479
16722.40803	0.01475
16778.52349	0.01487
16835.01684	0.01486
16891.89189	0.01491
16949.15254	0.01499
17006.80272	0.01498
17064.84642	0.01505
17123.28767	0.01504
17182.13058	0.01479
17241.37931	0.01470
17301.03806	0.01493
17361.11111	0.01501
17421.60279	0.01501
17482.51748	0.01503
17543.85965	0.01501
17605.6338	0.01490
17667.84452	0.01493
17730.49645	0.01499
17793.59431	0.01503
17857.14286	0.01511
17921.14695	0.01510
17985.61151	0.01502
18050.54152	0.01489
18115.94203	0.01492
18181.81818	0.01516
18248.17518	0.01516
18315.01832	0.01521
18382.35294	0.01520
18450.1845	0.01527
18518.51852	0.01528
18587.36059	0.01521
18656.71642	0.01523
18726.59176	0.01519
18796.99248	0.01538
18867.92453	0.01542
18939.39394	0.01533
19011.40684	0.01541
19083.96947	0.01550
19157.08812	0.01532
19230.76923	0.01534
19305.01931	0.01532
19379.84496	0.01530
19455.25292	0.01546
19531.25	0.01540
19607.84314	0.01546
19685.03937	0.01548
19762.84585	0.01556
19841.26984	0.01555
19920.31873	0.01540
20000	0.01542
20080.32129	0.01568
20161.29032	0.01576
20242.91498	0.01560
20325.20325	0.01557
20408.16327	0.01564
20491.80328	0.01568
20576.13169	0.01561
20661.15702	0.01571
20746.88797	0.01571
20833.33333	0.01588
20920.50209	0.01584
21008.40336	0.01581
21097.04641	0.01605
21186.44068	0.01585
21276.59574	0.01584
21367.52137	0.01597
21459.22747	0.01591
21551.72414	0.01596
21645.02165	0.01602
21739.13043	0.01589
21834.06114	0.01574
21929.82456	0.01605
22026.43172	0.01600
22123.89381	0.01597
22222.22222	0.01629
22321.42857	0.01602
22421.52466	0.01622
22522.52252	0.01620
22624.43439	0.01634
22727.27273	0.01619
22831.05023	0.01616
22935.77982	0.01591
23041.47465	0.01610
23148.14815	0.01640
23255.81395	0.01652
23364.48598	0.01638
23474.1784	0.01658
23584.90566	0.01650
23696.68246	0.01664
23809.52381	0.01676
23923.44498	0.01669
24038.46154	0.01657
24154.58937	0.01660
24271.84466	0.01671
24390.2439	0.01670
24509.80392	0.01681
24630.54187	0.01676
24752.47525	0.01701
24875.62189	0.01682
25000	0.01693
25125.62814	0.01700
25252.52525	0.01691
25380.71066	0.01747
25510.20408	0.01698
25641.02564	0.01749
25773.19588	0.01726
25906.73575	0.01755
26041.66667	0.01750
26178.01047	0.01753
26315.78947	0.01762
26455.02646	0.01765
26595.74468	0.01778
26737.96791	0.01787
26881.72043	0.01830
27027.02703	0.01816
27173.91304	0.01809
27322.40437	0.01855
27472.52747	0.01829
27624.30939	0.01861
27777.77778	0.01869
27932.96089	0.01862
28089.88764	0.01866
28248.58757	0.01886
28409.09091	0.01867
28571.42857	0.01873
28735.63218	0.01902
28901.7341	0.01946
29069.76744	0.01924
29239.76608	0.01925
29411.76471	0.01942
29585.79882	0.01965
29761.90476	0.01965
29940.11976	0.01971
30120.48193	0.02041
30303.0303	0.02026
30487.80488	0.02090
30674.84663	0.02066
30864.19753	0.02082
31055.90062	0.02103
31250	0.02155
31446.54088	0.02133
31645.56962	0.02120
31847.13376	0.02143
32051.28205	0.02161
32258.06452	0.02156
32467.53247	0.02224
32679.73856	0.02212
32894.73684	0.02242
33112.58278	0.02266
33333.33333	0.02283
33557.04698	0.02335
33783.78378	0.02393
34013.60544	0.02467
34246.57534	0.02513
34482.75862	0.02571
34722.22222	0.02676
34965.03497	0.02752
35211.26761	0.02877
35460.99291	0.02953
35714.28571	0.03077
35971.22302	0.03202
36231.88406	0.03338
36496.35036	0.03507
36764.70588	0.03784
37037.03704	0.04115
37313.43284	0.04574
37593.98496	0.05213
